site,country,largest_distance,best months for XC,num of all flights,num of 200k flights,num of 100k flights,num of 50k flights,num of 20k flights,XContest days per month,Xconotest days per year,link to XContest,longitude,latitude
Virgen,Austria,183.66 km,Apr,229,0,9,39,95,Apr:3 May:1 Mar:1 Sep:0 Jun:0 Jul:0 Aug:0 Feb:0 Oct:0 Jan:0,5,https://www.xcontest.org/world/en/flights-search/?filter[point]=12.4284%2047.00677&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,12.4284,47.00677
Lärchfilzkogel,Austria,67.21 km,Jul Jun Aug May,222,0,0,2,29,Jul:2 Jun:2 Aug:1 Sep:1 Oct:1 Feb:0 Mar:0,10,https://www.xcontest.org/world/en/flights-search/?filter[point]=12.54873%2047.443462&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,12.54873,47.443462
Schießling,Austria,316.31 km,Aug Jul Jun,217,8,41,63,107,Aug:3 Jul:2 Oct:1 Jun:1 May:1 Sep:0 Dec:0 Apr:0 Mar:0,11,https://www.xcontest.org/world/en/flights-search/?filter[point]=15.2891%2047.5705&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,15.2891,47.5705
Stutenbauer,Austria,76.25 km,May Jun Jul Aug,209,0,0,7,55,Jun:2 May:2 Aug:2 Jul:2 Apr:0 Sep:0 Mar:0 Oct:0 Feb:0 Nov:0,11,https://www.xcontest.org/world/en/flights-search/?filter[point]=9.7765%2047.55418&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,9.7765,47.55418
Gampersberger,Austria,176.42 km,Apr,208,0,21,64,126,Apr:4 Mar:3 May:2 Jul:0 Jun:0 Oct:0 Feb:0 Aug:0 Nov:0 Dec:0,10,https://www.xcontest.org/world/en/flights-search/?filter[point]=14.232%2047.5827&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,14.232,47.5827
Kaiserburg,Austria,60.9 km,Jul Aug Sep Oct Jun Feb,206,0,0,3,15,Jul:1 Oct:1 Aug:1 Feb:1 Mar:0 Sep:0 Jun:0 Jan:0 Nov:0 Apr:0 Dec:0,8,https://www.xcontest.org/world/en/flights-search/?filter[point]=13.82842%2046.77617&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,13.82842,46.77617
Westgipfel,Austria,55.09 km,Mar Feb Jan Apr Dec,201,0,0,2,11,Mar:4 Feb:2 Jan:1 Dec:1 Apr:0 Sep:0 Jul:0 Nov:0,9,https://www.xcontest.org/world/en/flights-search/?filter[point]=12.61922%2047.36238&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,12.61922,47.36238
Hohe Kugel,Austria,45.46 km,Jun Jul Aug May Sep Apr Oct Jan,196,0,0,0,17,Jun:3 Jul:2 Aug:2 May:2 Sep:2 Oct:0 Apr:0 Dec:0 Nov:0 Mar:0 Jan:0,13,https://www.xcontest.org/world/en/flights-search/?filter[point]=9.71587%2047.33525&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,9.71587,47.33525
Zauberkogel,Austria,65.38 km,Apr May Jun Aug Sep Jul Oct Mar,195,0,0,3,12,May:2 Apr:2 Jun:1 Sep:1 Aug:0 Mar:0 Jul:0 Oct:0,25,https://www.xcontest.org/world/en/flights-search/?filter[point]=14.60343%2046.724&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,14.60343,46.724
Postalm Abtenau,Austria,198.24 km,May Apr,186,0,13,40,123,Apr:2 May:2 Aug:1 Jul:1 Jun:1 Sep:0 Oct:0,8,https://www.xcontest.org/world/en/flights-search/?filter[point]=13.376633%2047.609967&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,13.376633,47.609967
