site,country,largest_distance,best months for XC,num of all flights,num of 200k flights,num of 100k flights,num of 50k flights,num of 20k flights,XContest days per month,Xconotest days per year,link to XContest,longitude,latitude
Rauschberg,Germany,281.18 km,Apr Jun May,906,35,146,279,601,May:2 Jun:2 Jul:1 Apr:1 Aug:1 Mar:0 Oct:0 Sep:0,8,https://www.xcontest.org/world/en/flights-search/?filter[point]=12.6876%2047.7273&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,12.6876,47.7273
Mittag,Germany,125.28 km,Jun Apr May Aug Jul,870,0,26,69,216,Jun:2 Aug:2 Jul:2 May:2 Apr:2 Mar:1 Sep:0 Oct:0 Dec:0 Nov:0,19,https://www.xcontest.org/world/en/flights-search/?filter[point]=10.21798%2047.53732&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,10.21798,47.53732
Mittag Süd,Germany,193.24 km,May Apr Jun,870,0,26,69,216,Jun:2 Aug:2 Jul:2 May:2 Apr:2 Mar:1 Sep:0 Oct:0 Dec:0 Nov:0,19,https://www.xcontest.org/world/en/flights-search/?filter[point]=10.2236%2047.5382&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,10.2236,47.5382
Ruhpolding U...,Germany,269.31 km,Apr Jun May,692,15,78,135,244,Apr:4 Jun:3 Jul:2 May:2 Aug:2 Mar:1 Sep:0 Nov:0 Oct:0 Dec:0,16,https://www.xcontest.org/world/en/flights-search/?filter[point]=12.635367%2047.727083&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,12.635367,47.727083
Kampenwand,Germany,195.46 km,Jun May Apr Jul,672,0,19,68,185,Jun:6 Jul:5 Aug:5 May:5 Apr:1 Mar:1 Oct:1 Sep:1 Dec:0 Nov:0 Feb:0 Jan:0,25,https://www.xcontest.org/world/en/flights-search/?filter[point]=12.352697%2047.753647&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,12.352697,47.753647
Breitenberg ...,Germany,79.52 km,Apr May Mar,609,0,2,23,186,Mar:2 May:2 Apr:1 Jun:1 Feb:1 Jan:0 Oct:0 Sep:0 Nov:0 Dec:0 Jul:0 Aug:0,10,https://www.xcontest.org/world/en/flights-search/?filter[point]=10.573%2047.5544&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,10.573,47.5544
Blomberg,Germany,259.35 km,Apr,582,2,10,34,90,Apr:2 Aug:2 Jun:2 Jul:1 May:1 Sep:1 Oct:0 Mar:0 Nov:0,12,https://www.xcontest.org/world/en/flights-search/?filter[point]=11.5153%2047.7301&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,11.5153,47.7301
Predigtstuhl,Germany,231.46 km,Jun Apr Jul May Aug Mar,579,3,41,96,254,Jul:2 Jun:1 May:1 Aug:1 Mar:0 Apr:0 Sep:0 Dec:0 Oct:0 Feb:0 Nov:0,7,https://www.xcontest.org/world/en/flights-search/?filter[point]=12.88962%2047.68892&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,12.88962,47.68892
Osterfelder,Germany,273.97 km,Jul Jun,567,37,82,117,249,Jul:5 Aug:4 Jun:3 Sep:3 Mar:1 Oct:1 Apr:0 Dec:0 Jan:0,17,https://www.xcontest.org/world/en/flights-search/?filter[point]=11.05247%2047.43925&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,11.05247,47.43925
Jenner,Germany,103.74 km,Apr May Aug Jun Jul Mar Feb,434,0,1,17,141,Aug:2 Jul:1 Sep:1 May:0 Oct:0 Mar:0 Apr:0 Nov:0 Jun:0,6,https://www.xcontest.org/world/en/flights-search/?filter[point]=13.0262%2047.5848&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,13.0262,47.5848
Wank,Germany,228.72 km,Apr May Jun,433,6,56,120,244,May:3 Apr:3 Oct:1 Dec:1 Nov:1 Jul:0 Jun:0 Sep:0 Feb:0 Aug:0 Jan:0 Mar:0,11,https://www.xcontest.org/world/en/flights-search/?filter[point]=11.1461%2047.5059&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,11.1461,47.5059
Hochgrat,Germany,86.51 km,Jul Jun May Aug,334,0,0,6,78,Sep:0 Jun:0 May:0 Aug:0 Mar:0 Jul:0 Dec:0 Oct:0 Feb:0 Jan:0,3,https://www.xcontest.org/world/en/flights-search/?filter[point]=10.0733%2047.5001&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,10.0733,47.5001
Hochplatte,Germany,188.84 km,Apr,330,0,32,97,195,Apr:3 Mar:2 May:1 Jun:0 Feb:0 Aug:0 Sep:0 Jan:0,8,https://www.xcontest.org/world/en/flights-search/?filter[point]=12.39897%2047.73985&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,12.39897,47.73985
