site,country,largest_distance,best months for XC,num of all flights,num of 200k flights,num of 100k flights,num of 50k flights,num of 20k flights,XContest days per month,Xconotest days per year,link to XContest,longitude,latitude
Sur Cou,France,319.16 km,Jul Aug May Sep Apr Jun,43,2,5,10,21,Aug:0 Jul:0 May:0 Apr:0 Jun:0 Sep:0,3,https://www.xcontest.org/world/en/flights-search/?filter[point]=6.3459%2046.02&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,6.3459,46.02
Les Grands M...,France,176.59 km,Aug Jul Sep Apr May,42,0,5,5,15,Aug:1 Jul:1 Sep:0 Apr:0,3,https://www.xcontest.org/world/en/flights-search/?filter[point]=6.960617%2045.946283&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,6.960617,45.946283
Frioland,France,167.45 km,May Sep Jul Aug Jun,42,0,3,5,10,Sep:0 Jul:0 Aug:0 Jun:0 May:0 Oct:0,7,https://www.xcontest.org/world/en/flights-search/?filter[point]=6.70168%2045.95&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,6.70168,45.95
Les Deux Alpes,France,75.71 km,Jun Jan Mar Jul Aug Feb,40,0,0,4,8,Mar:0 Jul:0 Jun:0 Aug:0 Feb:0 Oct:0 Sep:0,4,https://www.xcontest.org/world/en/flights-search/?filter[point]=6.145488%2044.998087&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,6.145488,44.998087
Chamrousse,France,99.08 km,Aug,39,0,0,17,32,Aug:1 Jul:0 Jun:0 Feb:0 Apr:0 Mar:0,3,https://www.xcontest.org/world/en/flights-search/?filter[point]=5.90203%2045.12722&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,5.90203,45.12722
La Scia,France,106.29 km,Aug Sep Jul Apr May,39,0,1,4,16,Aug:0 Jul:0 Sep:0 Apr:0 May:0,2,https://www.xcontest.org/world/en/flights-search/?filter[point]=5.84585%2045.345167&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,5.84585,45.345167
Col de la Loze,France,47.43 km,Feb Apr Mar,38,0,0,0,19,Feb:1 Mar:1 Apr:0,5,https://www.xcontest.org/world/en/flights-search/?filter[point]=6.59922%2045.40783&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,6.59922,45.40783
Saint Geniez,France,59.76 km,Aug Jun Apr May Mar Oct,38,0,0,2,7,Jun:1 Aug:0 Apr:0 Mar:0 Oct:0 May:0,3,https://www.xcontest.org/world/en/flights-search/?filter[point]=6.06287%2044.249393&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,6.06287,44.249393
Col de Tamié,France,182.4 km,Apr,38,0,10,26,32,Jun:0 Apr:0 May:0 Mar:0,2,https://www.xcontest.org/world/en/flights-search/?filter[point]=6.31877%2045.6828&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,6.31877,45.6828
Sospel,France,47.79 km,May Feb Jul Nov Sep Apr Aug Oct Jun,37,0,0,0,5,May:0 Sep:0 Jul:0 Feb:0 Nov:0 Apr:0 Jun:0 Aug:0 Oct:0,2,https://www.xcontest.org/world/en/flights-search/?filter[point]=7.46707%2043.91395&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,7.46707,43.91395
Montgellafrey,France,189.97 km,Mar,37,0,5,10,20,Mar:1 Feb:0 Jan:0 Apr:0 Sep:0 Jun:0,6,https://www.xcontest.org/world/en/flights-search/?filter[point]=6.31155%2045.39513&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,6.31155,45.39513
St Marcel,France,185.06 km,Apr,36,2,14,28,33,Apr:0 Aug:0 Jun:0,2,https://www.xcontest.org/world/en/flights-search/?filter[point]=5.96408%2045.4335&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,5.96408,45.4335
Montgirod,France,269.94 km,May Jun,34,11,21,28,31,Jun:0 May:0 Jul:0,2,https://www.xcontest.org/world/en/flights-search/?filter[point]=6.57323%2045.55367&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,6.57323,45.55367
Banon,France,118.4 km,Aug May Apr Sep Jun Oct Mar Jul Feb Jan,34,0,2,4,6,Aug:0 Oct:0 Sep:0 Apr:0 Jul:0 Jun:0 May:0 Mar:0,5,https://www.xcontest.org/world/en/flights-search/?filter[point]=5.635267%2044.04975&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,5.635267,44.04975
chatel,France,165.49 km,Jul,34,0,3,12,17,Jun:0 Dec:0 Sep:0 Jul:0 Aug:0 Mar:0 Oct:0,3,https://www.xcontest.org/world/en/flights-search/?filter[point]=5.81193%2044.811&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,5.81193,44.811
