site,largest_distance,best months for XC,num of all flights,num of 200k flights,num of 100k flights,num of 50k flights,num of 20k flights,XContest days per month,Xconotest days per year,link to XContest,longitude,latitude
Les Salines,19.36 km,Oct Dec,29,0,0,0,0,Jun:0 Dec:0 Nov:0 Oct:0 Apr:0,2,https://www.xcontest.org/world/en/flights-search/?filter[point]=2.73015%2042.42252&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,2.73015,42.42252
Cervin,38.27 km,Sep Aug,29,0,0,1,6,Aug:1 Sep:0 Oct:0 Jun:0 Jul:0,2,https://www.xcontest.org/world/en/flights-search/?filter[point]=0.41285%2042.44055&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,0.41285,42.44055
Cerbin,80.07 km,Jun Sep Feb Aug,29,0,0,1,6,Aug:1 Sep:0 Oct:0 Jun:0 Jul:0,2,https://www.xcontest.org/world/en/flights-search/?filter[point]=0.412617%2042.44035&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,0.412617,42.44035
"Cervin,ES",9.27 km,Aug Sep,29,0,0,1,6,Aug:1 Sep:0 Oct:0 Jun:0 Jul:0,2,https://www.xcontest.org/world/en/flights-search/?filter[point]=0.406533%2042.441383&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,0.406533,42.441383
creueta,67.84 km,Oct,29,0,4,17,20,Oct:0 Aug:0 Dec:0 Jul:0 May:0 Jun:0 Apr:0 Mar:0,2,https://www.xcontest.org/world/en/flights-search/?filter[point]=1.99537%2042.28948&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,1.99537,42.28948
Gallina pelada,27.73 km,Sep,27,0,0,0,9,Sep:0 Oct:0 Jun:0,2,https://www.xcontest.org/world/en/flights-search/?filter[point]=1.737967%2042.189417&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,1.737967,42.189417
Gallina Pelada,27.24 km,Sep,27,0,0,0,9,Sep:0 Oct:0 Jun:0,2,https://www.xcontest.org/world/en/flights-search/?filter[point]=1.73793%2042.18938&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,1.73793,42.18938
gallina pelada,27.75 km,Sep Jun,27,0,0,0,9,Sep:0 Oct:0 Jun:0,2,https://www.xcontest.org/world/en/flights-search/?filter[point]=1.738%2042.1894&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,1.738,42.1894
gallina pelada,16.82 km,Sep Jun,27,0,0,0,9,Sep:0 Oct:0 Jun:0,2,https://www.xcontest.org/world/en/flights-search/?filter[point]=1.73798%2042.18938&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,1.73798,42.18938
Superbagnèr...,194.3 km,Jun May Aug,26,0,13,24,26,Aug:0 Jun:0 Jul:0 Oct:0 Sep:0,5,https://www.xcontest.org/world/en/flights-search/?filter[point]=0.55097%2042.75725&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,0.55097,42.75725
Les Angles,100.85 km,Aug,26,0,1,3,9,Aug:1 Jul:0 Apr:0 Feb:0 Dec:0 Nov:0,4,https://www.xcontest.org/world/en/flights-search/?filter[point]=2.05655%2042.57143&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,2.05655,42.57143
Ensija,9.79 km,Jan Sep Dec Jun Mar Apr Oct Nov Feb,26,0,0,0,0,Sep:0 Jan:0 Jun:0 Dec:0 Nov:0 Feb:0 Mar:0 Apr:0,1,https://www.xcontest.org/world/en/flights-search/?filter[point]=1.75337%2042.1828&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,1.75337,42.1828
Catllar,4.34 km,Feb Jun,26,0,0,0,0,Dec:0 Aug:0 Jul:0,3,https://www.xcontest.org/world/en/flights-search/?filter[point]=2.1701%2042.19143&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,2.1701,42.19143
El Catllar,2.85 km,Dec,26,0,0,0,0,Dec:0 Aug:0 Jul:0,3,https://www.xcontest.org/world/en/flights-search/?filter[point]=2.16997%2042.1915&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,2.16997,42.1915
Cerverís,33.08 km,Dec,24,0,0,0,1,Dec:0 Jun:0 Jan:0 Nov:0 Sep:0 Apr:0 Feb:0,2,https://www.xcontest.org/world/en/flights-search/?filter[point]=2.222402%2042.337168&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,2.222402,42.337168
Llisat,27.2 km,Aug,24,0,1,3,5,Sep:0 Aug:0 Jul:0 Oct:0 Jun:0,2,https://www.xcontest.org/world/en/flights-search/?filter[point]=0.42542%2042.55903&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,0.42542,42.55903
Puigmal,15.3 km,Dec Nov,23,0,0,0,0,Dec:0 Nov:0 Oct:0 Mar:0 Jan:0,2,https://www.xcontest.org/world/en/flights-search/?filter[point]=2.11922%2042.38163&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,2.11922,42.38163
Tossa d'Alp,123.0 km,Nov Jul Dec Apr Jan Sep Feb Oct Aug,23,0,1,1,2,Dec:0 Jul:0 Apr:0 Oct:0 Nov:0 Jan:0 Aug:0 Feb:0,2,https://www.xcontest.org/world/en/flights-search/?filter[point]=1.8945%2042.32197&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,1.8945,42.32197
Castejon de ...,9.51 km,Sep Aug Jun,23,0,0,2,4,Sep:0 Aug:0 Jul:0 Oct:0 Jun:0,2,https://www.xcontest.org/world/en/flights-search/?filter[point]=0.42962%2042.55943&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,0.42962,42.55943
Castejon Air...,9.68 km,Sep,23,0,0,2,4,Sep:0 Aug:0 Jul:0 Oct:0 Jun:0,2,https://www.xcontest.org/world/en/flights-search/?filter[point]=0.429667%2042.55885&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,0.429667,42.55885
200m tourmalet,19.78 km,Jun,23,0,0,0,0,Aug:1 Jun:0 Jul:0 May:0 Sep:0,4,https://www.xcontest.org/world/en/flights-search/?filter[point]=0.109517%2042.90475&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,0.109517,42.90475
"La Recta , A...",1.81 km,May,22,0,0,0,0,Dec:0 Oct:0 May:0 Sep:0 Mar:0 Feb:0 Jan:0,2,https://www.xcontest.org/world/en/flights-search/?filter[point]=-1.5763%2042.11032&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,-1.5763,42.11032
la recta arg...,8.03 km,Dec Mar,22,0,0,0,0,Dec:0 Oct:0 May:0 Sep:0 Mar:0 Feb:0 Jan:0,2,https://www.xcontest.org/world/en/flights-search/?filter[point]=-1.57625%2042.10997&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,-1.57625,42.10997
"Barèges ""Le...",8.47 km,Jun,22,0,0,0,0,Aug:1 Jul:0 Jun:0 May:0 Sep:0,4,https://www.xcontest.org/world/en/flights-search/?filter[point]=0.10973%2042.90452&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,0.10973,42.90452
Moixeró,55.82 km,Nov Feb Jan Dec,21,0,0,1,8,Feb:0 Dec:0 Jan:0 Nov:0 Mar:0,2,https://www.xcontest.org/world/en/flights-search/?filter[point]=1.83348%2042.30248&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,1.83348,42.30248
xpyr day5,55.22 km,Jun,20,0,0,5,9,Jun:1 Aug:0 Sep:0 Jul:0,2,https://www.xcontest.org/world/en/flights-search/?filter[point]=0.14757%2042.90763&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,0.14757,42.90763
alp,28.08 km,Jun,20,0,0,0,13,Aug:0 Jun:0 Dec:0 Apr:0 Oct:0,2,https://www.xcontest.org/world/en/flights-search/?filter[point]=1.81198%2042.45148&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,1.81198,42.45148
Estavar,27.39 km,Jun,20,0,0,0,13,Aug:0 Jun:0 Dec:0 Apr:0 Oct:0,2,https://www.xcontest.org/world/en/flights-search/?filter[point]=1.81227%2042.45118&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,1.81227,42.45118
Meranges,27.0 km,Jun,20,0,0,0,13,Aug:0 Jun:0 Dec:0 Apr:0 Oct:0,2,https://www.xcontest.org/world/en/flights-search/?filter[point]=1.81192%2042.45183&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,1.81192,42.45183
Marenges,17.9 km,Aug,20,0,0,0,13,Aug:0 Jun:0 Dec:0 Apr:0 Oct:0,2,https://www.xcontest.org/world/en/flights-search/?filter[point]=1.81205%2042.4512&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,1.81205,42.4512
Hautacam Ber...,11.82 km,Dec Oct,19,0,0,0,1,Oct:0 Dec:0 Sep:0,2,https://www.xcontest.org/world/en/flights-search/?filter[point]=-0.004508%2042.973292&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,-0.004508,42.973292
Hautacam la ...,20.03 km,Oct,19,0,0,0,1,Oct:0 Dec:0 Sep:0,2,https://www.xcontest.org/world/en/flights-search/?filter[point]=-0.00222%2042.96915&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,-0.00222,42.96915
"Loma Negra, ...",8.12 km,Jan Oct,19,0,0,0,0,Oct:0 Mar:0 Jun:0 Feb:0 Nov:0 May:0 Aug:0,2,https://www.xcontest.org/world/en/flights-search/?filter[point]=-1.39863%2042.0627&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,-1.39863,42.0627
hautacam,13.43 km,Oct,19,0,0,0,1,Oct:0 Dec:0 Sep:0,2,https://www.xcontest.org/world/en/flights-search/?filter[point]=-0.002467%2042.969117&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,-0.002467,42.969117
Pessonada,52.09 km,Nov Oct Feb May,18,0,0,1,4,Nov:0 Feb:0 May:0 Aug:0 Oct:0 Mar:0 Dec:0,3,https://www.xcontest.org/world/en/flights-search/?filter[point]=1.0248%2042.21915&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,1.0248,42.21915
