site,country,largest_distance,best months for XC,num of all flights,num of 200k flights,num of 100k flights,num of 50k flights,num of 20k flights,XContest days per month,Xconotest days per year,link to XContest,longitude,latitude
Balderen,Switzerland,267.5 km,May,3685,2,48,255,921,May:7 Apr:7 Jun:6 Mar:6 Jul:6 Sep:5 Feb:4 Aug:4 Oct:3 Jan:2 Nov:2 Dec:1,52,https://www.xcontest.org/world/en/flights-search/?filter[point]=8.50083%2047.32237&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,8.50083,47.32237
Motta Naluns,Switzerland,295.95 km,Jun,3409,39,351,959,1659,Aug:15 Jul:15 Jun:9 Mar:8 Sep:7 Apr:4 Feb:4 May:4 Oct:4 Jan:1 Dec:0 Nov:0,68,https://www.xcontest.org/world/en/flights-search/?filter[point]=10.27345%2046.81315&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,10.27345,46.81315
Zugerberg,Switzerland,118.09 km,Jun Apr May Jul Aug,3380,0,4,73,734,May:13 Jun:12 Jul:11 Aug:10 Apr:9 Mar:7 Sep:6 Oct:3 Feb:2 Jan:1 Dec:1 Nov:0,71,https://www.xcontest.org/world/en/flights-search/?filter[point]=8.53553%2047.14812&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,8.53553,47.14812
Riederalp,Switzerland,294 km,Jun May,2958,218,1375,2210,2597,May:10 Jun:9 Aug:8 Apr:7 Jul:6 Mar:5 Sep:4 Oct:2 Nov:2 Feb:2 Dec:1,53,https://www.xcontest.org/world/en/flights-search/?filter[point]=8.03083%2046.37673&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,8.03083,46.37673
Mornera,Switzerland,292.43 km,Apr May,2531,43,541,957,1649,Mar:11 Apr:10 Dec:8 May:7 Feb:6 Jan:5 Jun:5 Aug:4 Jul:4 Sep:4 Oct:3 Nov:2,66,https://www.xcontest.org/world/en/flights-search/?filter[point]=8.98583%2046.20568&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,8.98583,46.20568
Mauborget,Switzerland,226.04 km,Jul May Apr Jun Aug,2515,8,226,590,1712,Aug:10 Apr:9 Jul:8 May:8 Jun:8 Mar:6 Sep:6 Oct:1 Feb:0 Nov:0 Dec:0 Jan:0,55,https://www.xcontest.org/world/en/flights-search/?filter[point]=6.61058%2046.85512&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,6.61058,46.85512
Büelen,Switzerland,127.55 km,Apr May Jun,2419,0,9,76,649,May:13 Apr:13 Jun:12 Jul:11 Aug:9 Mar:9 Sep:6 Oct:4 Feb:4 Nov:3 Jan:1 Dec:0,79,https://www.xcontest.org/world/en/flights-search/?filter[point]=8.36028%2046.88303&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,8.36028,46.88303
Mentschelen,Switzerland,190.43 km,May Jul Jun Apr,2397,0,14,86,597,Jul:10 Jun:10 May:10 Apr:9 Aug:7 Sep:4 Mar:2 Oct:2 Dec:0 Feb:0 Nov:0 Jan:0,54,https://www.xcontest.org/world/en/flights-search/?filter[point]=7.509867%2046.7155&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,7.509867,46.7155
Scheidegg,Switzerland,421.9 km,Jun May Apr Jul,2339,22,60,173,610,Jun:11 Apr:10 Jul:10 Aug:9 May:9 Mar:7 Sep:6 Oct:3 Feb:1 Nov:1 Dec:1 Jan:0,65,https://www.xcontest.org/world/en/flights-search/?filter[point]=8.94325%2047.30382&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,8.94325,47.30382
Wispile,Switzerland,292.61 km,Jul,2308,16,169,628,1477,Jul:15 Aug:11 Sep:8 Jun:5 Mar:3 Oct:2 May:2 Feb:2 Apr:1 Jan:0 Dec:0,48,https://www.xcontest.org/world/en/flights-search/?filter[point]=7.29315%2046.44245&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,7.29315,46.44245
Verbier,Switzerland,175.38 km,Jul Apr Jun Aug Mar,2293,0,32,205,888,Aug:14 Jul:13 Mar:10 Sep:10 Jun:8 Apr:7 Feb:5 Oct:3 Dec:3 Jan:1 May:1 Nov:1,71,https://www.xcontest.org/world/en/flights-search/?filter[point]=7.2545%2046.08922&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,7.2545,46.08922
Rotenflue,Switzerland,196.01 km,Jun May Jul Aug Mar Apr,2229,0,23,100,574,Aug:10 Jul:9 Jun:9 May:8 Sep:6 Mar:5 Feb:4 Oct:4 Dec:4 Jan:2 Apr:2 Nov:1,61,https://www.xcontest.org/world/en/flights-search/?filter[point]=8.704123%2047.021687&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,8.704123,47.021687
Crap Sogn Gion,Switzerland,304.94 km,Aug Jul Mar Apr,2177,6,125,502,921,Mar:8 Feb:7 Aug:6 Jul:6 Dec:6 Apr:4 Jan:4 Oct:3 Sep:3 Nov:2 Jun:0 May:0,48,https://www.xcontest.org/world/en/flights-search/?filter[point]=9.21592%2046.83522&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,9.21592,46.83522
Kronberg,Switzerland,147.09 km,Jun Apr Jul May,2111,0,1,26,375,Jul:11 Sep:10 Jun:10 Aug:9 May:8 Apr:7 Oct:4 Dec:4 Feb:3 Nov:3 Jan:2 Mar:1,68,https://www.xcontest.org/world/en/flights-search/?filter[point]=9.328867%2047.291617&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,9.328867,47.291617
Lai Alv,Switzerland,214.49 km,Aug Jul Apr,2065,8,185,1010,1732,Aug:10 Jul:5 Mar:4 Apr:3 Feb:2 Sep:1 Dec:1 Jan:1 Jun:0 May:0 Oct:0 Nov:0,28,https://www.xcontest.org/world/en/flights-search/?filter[point]=8.79892%2046.70653&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,8.79892,46.70653
Niederbauen,Switzerland,91.27 km,May Jul Jun,1960,0,0,9,120,Jul:12 Jun:11 May:10 Aug:8 Apr:6 Sep:5 Mar:2 Oct:1 Feb:1 Dec:0 Nov:0 Jan:0,53,https://www.xcontest.org/world/en/flights-search/?filter[point]=8.53617%2046.94687&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,8.53617,46.94687
Hüsliberg,Switzerland,108.25 km,May Jul Apr Aug,1909,0,3,93,749,Jul:13 Aug:11 May:11 Apr:9 Mar:8 Jun:3 Sep:2 Feb:2 Oct:2 Nov:1 Dec:0 Jan:0,59,https://www.xcontest.org/world/en/flights-search/?filter[point]=9.07465%2047.19&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,9.07465,47.19
Niederhorn,Switzerland,231.13 km,Jun Jul May Apr Aug,1904,7,19,160,619,Jul:9 Aug:9 Jun:9 May:8 Sep:8 Oct:6 Feb:5 Mar:4 Dec:4 Apr:4 Jan:3 Nov:2,67,https://www.xcontest.org/world/en/flights-search/?filter[point]=7.77805%2046.7114&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,7.77805,46.7114
Grandvillard,Switzerland,132.73 km,May Apr Jul Jun Aug,1903,0,2,104,660,Jul:12 Aug:11 Jun:11 Apr:9 May:9 Sep:6 Oct:2 Mar:1 Nov:0 Feb:0,57,https://www.xcontest.org/world/en/flights-search/?filter[point]=7.1132%2046.5458&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,7.1132,46.5458
Braunwald,Switzerland,215.05 km,Jul Jun Aug,1833,3,36,160,593,Aug:11 Jul:10 Sep:8 Jun:7 Mar:6 Feb:6 Oct:5 Dec:5 Jan:4 Nov:3 May:1 Apr:0,63,https://www.xcontest.org/world/en/flights-search/?filter[point]=8.98772%2046.95942&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,8.98772,46.95942
