site,country,largest_distance,best months for XC,num of all flights,num of 200k flights,num of 100k flights,num of 50k flights,num of 20k flights,XContest days per month,Xconotest days per year,link to XContest,longitude,latitude
Monte Moro,Italy,102.13 km,Mar Feb Jan Dec Apr Nov,214,0,1,7,35,Jan:3 Feb:3 Mar:2 Dec:2 Nov:1 Apr:1 Sep:0 Aug:0 Jul:0 May:0,12,https://www.xcontest.org/world/en/flights-search/?filter[point]=7.976783%2045.996817&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,7.976783,45.996817
Maniago,Italy,152.97 km,Aug Jul Apr May Jun Mar Sep,209,0,4,33,98,Jul:2 Jun:2 Aug:2 May:1 Mar:1 Apr:1 Jan:0 Sep:0 Nov:0 Oct:0 Feb:0 Dec:0,15,https://www.xcontest.org/world/en/flights-search/?filter[point]=12.67612%2046.17713&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,12.67612,46.17713
Marmolada,Italy,66.55 km,Sep,209,0,0,4,89,Sep:3 Oct:1 Aug:0 Jul:0 Apr:0 Mar:0 Nov:0,5,https://www.xcontest.org/world/en/flights-search/?filter[point]=11.85047%2046.43432&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,11.85047,46.43432
Duca d'Aosta,Italy,333.68 km,Aug Jul May Jun,201,9,36,74,140,Aug:3 Jul:2 Sep:1 Jun:1 May:1 Mar:0 Dec:0 Nov:0 Feb:0 Oct:0 Apr:0,11,https://www.xcontest.org/world/en/flights-search/?filter[point]=12.08675%2046.53602&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,12.08675,46.53602
Decollo Pigi,Italy,102.16 km,Jun May Aug Mar Jul Sep,201,0,1,10,67,May:2 Jun:2 Aug:1 Jul:1 Mar:1 Apr:0 Sep:0 Oct:0 Nov:0 Dec:0 Feb:0 Jan:0,12,https://www.xcontest.org/world/en/flights-search/?filter[point]=7.31263%2044.93462&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,7.31263,44.93462
Novegno,Italy,125.18 km,May Jun Jul Aug Sep Apr,190,0,13,65,126,Jun:2 Jul:1 May:1 Dec:1 Apr:1 Aug:1 Sep:0 Oct:0 Nov:0 Jan:0,8,https://www.xcontest.org/world/en/flights-search/?filter[point]=11.30855%2045.7623&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,11.30855,45.7623
Alpe Mara,Italy,181.5 km,Nov Oct May Apr Aug Sep Jan Dec Mar Jul Jun Feb,190,0,15,28,74,Oct:1 Aug:1 Dec:1 Nov:1 May:1 Sep:0 Jun:0 Apr:0 Mar:0 Jul:0 Jan:0 Feb:0,9,https://www.xcontest.org/world/en/flights-search/?filter[point]=9.91892%2046.21457&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,9.91892,46.21457
Rosengarten,Italy,131.01 km,Sep,189,0,1,2,40,Sep:4 Aug:2 Oct:0 Jun:0 Jul:0 Apr:0,7,https://www.xcontest.org/world/en/flights-search/?filter[point]=11.616582%2046.415913&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,11.616582,46.415913
Gitschberg,Italy,166.63 km,Aug Jun Jul,188,0,25,77,132,Aug:3 Jul:1 Jun:0 Mar:0 Apr:0 May:0 Sep:0 Jan:0 Oct:0 Dec:0 Nov:0,7,https://www.xcontest.org/world/en/flights-search/?filter[point]=11.6899%2046.8573&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,11.6899,46.8573
Sarsenà,Italy,127.63 km,Aug Mar Jul Jun,183,0,2,58,112,Aug:1 Jul:1 Dec:1 Sep:1 Jan:1 Jun:1 Feb:1 Nov:0 May:0 Mar:0 Apr:0 Oct:0,12,https://www.xcontest.org/world/en/flights-search/?filter[point]=7.113833%2044.820267&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,7.113833,44.820267
Giggelberg,Italy,272.39 km,May Apr Jun Jul Aug Mar,173,7,23,44,72,Jun:2 May:2 Apr:2 Aug:1 Jul:1 Sep:1 Mar:0 Oct:0 Jan:0,11,https://www.xcontest.org/world/en/flights-search/?filter[point]=11.043867%2046.685167&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,11.043867,46.685167
Ospedaletti,Italy,76.03 km,Sep May Jan Oct Jun Mar Dec Aug Jul Feb Nov Apr,168,0,0,5,24,Jan:2 Sep:1 Feb:1 Aug:1 May:1 Dec:1 Oct:1 Nov:0 Jul:0 Mar:0 Jun:0 Apr:0,12,https://www.xcontest.org/world/en/flights-search/?filter[point]=7.71413%2043.82812&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,7.71413,43.82812
Pavillon,Italy,126.35 km,Sep Jul Aug Jun Oct Mar May Apr Feb Dec Nov,164,0,6,29,64,Sep:2 Aug:1 Jul:1 Oct:1 Feb:1 Jun:0 Apr:0 Jan:0 Mar:0 Dec:0 Nov:0 May:0,11,https://www.xcontest.org/world/en/flights-search/?filter[point]=6.947917%2045.829633&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,6.947917,45.829633
Alagna Valsesia,Italy,136.18 km,Aug Jul Apr Jun Mar,162,0,14,40,92,Aug:2 Apr:1 Jul:1 Mar:0 Dec:0 Jun:0 Oct:0 Jan:0 Feb:0 Sep:0,12,https://www.xcontest.org/world/en/flights-search/?filter[point]=7.892%2045.87443&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,7.892,45.87443
Dalico,Italy,38.86 km,Apr Aug Sep May Jul Mar Jun Oct Jan Dec Feb Nov,159,0,0,0,5,Apr:3 Aug:2 May:1 Sep:1 Oct:1 Mar:1 Nov:1 Jun:0 Feb:0 Jul:0 Dec:0 Jan:0,14,https://www.xcontest.org/world/en/flights-search/?filter[point]=10.0134%2046.18835&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,10.0134,46.18835
Pian Munè,Italy,58.77 km,Jun May Aug Apr Jul,158,0,0,2,47,Jun:2 Aug:1 May:1 Jul:1 Apr:1 Mar:0 Sep:0 Oct:0 Dec:0 Feb:0,11,https://www.xcontest.org/world/en/flights-search/?filter[point]=7.26013%2044.6576&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,7.26013,44.6576
Lusentino,Italy,144.83 km,Apr May Dec Mar Nov Oct,154,0,3,11,22,Apr:2 Dec:1 May:1 Nov:1 Mar:1 Oct:1 Jan:0 Sep:0 Feb:0 Jul:0 Aug:0 Jun:0,10,https://www.xcontest.org/world/en/flights-search/?filter[point]=8.25368%2046.10292&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,8.25368,46.10292
Roncola,Italy,129.89 km,Apr Mar May Jul Jun Aug Feb Sep Oct Jan,152,0,16,59,98,Apr:2 Jul:2 Aug:1 Jun:1 May:1 Mar:1 Sep:0 Oct:0 Feb:0 Dec:0 Nov:0,11,https://www.xcontest.org/world/en/flights-search/?filter[point]=9.56645%2045.76792&list[sort]=pts&list[dir]=down&filter[radius]=1000&list[num]=100,9.56645,45.76792
